author,statement,source,date,label
Maria Briceño,"U.S. men’s hockey Olympian Brady Tkachuk said about the Canadian hockey team, “They booed our national anthem, so I had to come out and teach those maple syrup eating f----s a lesson.”",Donald Trump,2026-02-22,Pants Fire
George Headley,An Instagram video shows a New York City man sculpting a car out of snow.,Instagram posts,2026-02-24,False
Maria Briceño,An audio clip reveals a Jeffrey Epstein victim’s account of abuse by the Clintons.,Social Media,2026-02-24,Pants Fire
Loreben Tuquero,"President Donald Trump’s tariff policies “have forced American families to pay more than $1,700 each in tariff costs” since last year.",Abigail Spanberger,2026-02-24,Mostly True
Paul Specht,Says Sam Page “got busted calling Trump’s (immigration) plan unrealistic.”,NC True Conservatives PAC,2026-01-20,False
Chris Doody,“Nearly 27% of all homes sold in the first quarter of 2025 were bought by investors.”,Josh Riley,2026-01-08,Half True
Maria Briceño,"Imagen muestra a Puerto Vallarta, México, después de la muerte de Nemesio “El Mencho” Oseguera Cervantes, el líder del Cártel Jalisco Nueva Generación.",Social Media,2026-02-22,False
Maria Ramirez Uribe,"After U.S. vessel strikes in the Caribbean Sea and Pacific Ocean, “drugs entering our country by sea are down 97%.”",Donald Trump,2026-01-29,False
Maria Briceño,"Image shows Puerto Vallarta, Mexico, after the killing of Nemesio “El Mencho” Oseguera Cervantes, the head of Jalisco New Generation Cartel.",Social Media,2026-02-22,False
Grace Abels,Says “90% of health care spending treats chronic disease.”,Robert F. Kennedy Jr.,2026-01-07,False
Jill Terreri Ramos,New York ranks No. 1 in the nation for individual tax burden.,Bruce Blakeman,2026-01-14,Mostly True
Loreben Tuquero,The Epstein files “expose Ellen DeGeneres” as a cannibal.,Social Media,2026-02-14,Pants Fire
Maria Briceño,"Savannah Guthrie's husband’s company is listed as a ""co conspirator"" in the Epstein files, “in case you're wondering why now of all times for (her) mother to be 'kidnapped.'""",X posts,2026-02-12,False
Amy Sherman,"Crime in Minneapolis “is down 25, 30% because we’ve removed thousands of criminals from the area.”",Donald Trump,2026-02-08,Barely True
Brooke Johnpier,“New Yorkers pay 49% more than the national average for electricity.”,Tom O'Mara,2026-01-20,Mostly True
Andrew McGurl,Said she has led the House effort to build a large Micron semiconductor facility near Syracuse.,Claudia Tenney,2026-01-16,Half True
Louis Jacobson,"""The crime rate now is the lowest it's been since 1900. That's 125 years.""",Donald Trump,2026-02-03,Half True
Samantha Putterman,"“Durante su presentación en el Super Bowl, Bad Bunny le regaló su premio Grammy a Liam Conejo Ramos”, el niño de 5 años que fue detenido por ICE.",Social Media,2026-02-08,False
Loreben Tuquero,An image shows Bad Bunny wearing a dress and burning the U.S. flag.,Social Media,2026-02-08,Pants Fire
Louis Jacobson,“We right now have more factories and plants being built in our country than we've ever had before.”,Donald Trump,2026-01-27,Half True
Samantha Putterman,"During the Super Bowl halftime show, “Bad Bunny brought Liam Conejo Ramos onto the stage,” the 5-year-old detained by Immigration and Customs Enforcement in Minneapolis.",Social Media,2026-02-08,False
Loreben Tuquero,"An image shows Jeffrey Epstein “still alive and walking the streets of Tel Aviv,” Israel.",Social Media,2026-02-05,Pants Fire
Amy Sherman,"Under Michigan Gov. Gretchen Whitmer, there are “fewer families living in poverty” than under her predecessor.",Gretchen Whitmer,2026-02-02,Half True
Louis Jacobson,"Among Somalis in Minnesota, “92% of them don’t work.”",Donald Trump,2026-02-02,Pants Fire
Maria Briceño,"Images show New York City Mayor Zohran Mamdani as a child with his mother, Mira Nair, and Jeffrey Epstein.",X posts,2026-01-31,Pants Fire
Loreben Tuquero,"In artificial intelligence, “We're leading China by a lot.”",Donald Trump,2026-01-21,Half True
Samantha Putterman,The Federal Emergency Management Agency’s “backlog of unanswered disaster assistance applications has exploded to the largest in its history.”,Jared Moskowitz,2026-01-22,Mostly True
Amy Sherman,"""Right now we're focused on Minneapolis because that's where we have the highest concentration of people who have violated our immigration laws.""",JD Vance,2026-01-22,False
Maria Briceño,"An image shows Alex Pretti holding a gun, not a phone, while pinned by federal immigration agents in Minneapolis.",X posts,2026-01-25,False
Louis Jacobson,“You cannot bring a firearm loaded with multiple magazines to any sort of protest that you want. It’s that simple.”,Kash Patel,2026-01-25,Barely True
Maria Briceño,Protesters against the federal immigration crackdown in Minnesota are conducting “fake protests done by agitators and professional insurrectionists. …They're professional troublemakers.”,Donald Trump,2026-01-21,False
Madison Czopek,Trees can explode if temperatures drop to 20 degrees below zero.,Social Media,2026-01-20,Barely True
Loreben Tuquero,Evan Kilgore is one of the Border Patrol agents who shot Alex Pretti in Minneapolis.,Social Media,2026-01-25,Pants Fire
Maria Briceño,"Donald Trump posted on Truth Social, “Only criminals carry guns on our streets, we need law and order.”",Social Media,2026-01-24,Pants Fire
Paul Specht,"“Trump’s $2,000 tariff dividend is live but you must act.”",Major Gross Profit,2026-01-16,False
Maria Briceño,"Video showing a vacant lot at a Venice, California, address where 26 voters were registered exposes voter fraud.",Benny Johnson,2026-01-16,False
Grace Abels,The former U.S. childhood vaccine schedule called for babies to get “72 injections.”,Donald Trump,2026-01-05,False
Madison Czopek,“No están recibiendo el entrenamiento tradicional de cinco meses… .El entrenamiento para los agentes de ICE ahora es de 47 días”.,Mark Warner,2026-01-11,Mostly True
Amy Sherman,A letter sent to postal service employees about working during emergencies such as civil unrest is a sign that President Donald Trump will impose martial law.,Social Media,2026-01-11,False
